batting_team_encoded,bowling_team_encoded,venue_encoded,current_score,wickets_fallen,overs,final_total_score
0,3,17,1,0,0.1,131
0,3,17,1,0,0.1,131
0,3,17,2,0,0.2,131
0,3,17,2,0,0.2,131
0,3,17,2,1,0.3,131
0,3,17,3,1,0.4,131
0,3,17,3,1,0.4,131
0,3,17,3,1,0.5,131
0,3,17,3,1,0.6,131
0,3,17,3,1,1.1,131
0,3,17,3,1,1.2,131
0,3,17,4,1,1.3,131
0,3,17,8,1,1.4,131
0,3,17,8,1,1.5,131
0,3,17,8,1,1.6,131
0,3,17,9,1,2.1,131
0,3,17,15,1,2.2,131
0,3,17,15,1,2.3,131
0,3,17,15,1,2.4,131
0,3,17,16,1,2.5,131
0,3,17,16,1,2.6,131
0,3,17,17,1,3.1,131
0,3,17,17,1,3.2,131
0,3,17,18,1,3.3,131
0,3,17,24,1,3.4,131
0,3,17,24,1,3.5,131
0,3,17,28,1,3.6,131
0,3,17,28,2,4.1,131
0,3,17,28,2,4.2,131
0,3,17,28,2,4.3,131
0,3,17,28,2,4.4,131
0,3,17,29,2,4.5,131
0,3,17,29,2,4.6,131
0,3,17,30,2,5.1,131
0,3,17,31,2,5.2,131
0,3,17,31,2,5.3,131
0,3,17,31,2,5.4,131
0,3,17,35,2,5.5,131
0,3,17,35,2,5.6,131
0,3,17,36,2,6.1,131
0,3,17,37,2,6.2,131
0,3,17,39,2,6.3,131
0,3,17,39,2,6.4,131
0,3,17,40,2,6.5,131
0,3,17,40,2,6.6,131
0,3,17,41,2,7.1,131
0,3,17,41,2,7.2,131
0,3,17,47,2,7.3,131
0,3,17,47,2,7.4,131
0,3,17,48,2,7.5,131
0,3,17,49,3,7.6,131
0,3,17,50,3,7.6,131
0,3,17,51,3,8.1,131
0,3,17,51,3,8.2,131
0,3,17,52,3,8.3,131
0,3,17,52,4,8.4,131
0,3,17,53,4,8.5,131
0,3,17,53,4,8.6,131
0,3,17,55,4,9.1,131
0,3,17,56,4,9.2,131
0,3,17,56,4,9.3,131
0,3,17,57,4,9.4,131
0,3,17,57,4,9.5,131
0,3,17,57,4,9.6,131
0,3,17,58,4,10.1,131
0,3,17,59,4,10.2,131
0,3,17,60,4,10.3,131
0,3,17,61,4,10.4,131
0,3,17,61,5,10.5,131
0,3,17,61,5,10.6,131
0,3,17,62,5,11.1,131
0,3,17,62,5,11.2,131
0,3,17,62,5,11.3,131
0,3,17,63,5,11.4,131
0,3,17,64,5,11.5,131
0,3,17,64,5,11.6,131
0,3,17,64,5,12.1,131
0,3,17,65,5,12.2,131
0,3,17,65,5,12.3,131
0,3,17,65,5,12.4,131
0,3,17,66,5,12.5,131
0,3,17,66,5,12.6,131
0,3,17,66,5,13.1,131
0,3,17,66,5,13.2,131
0,3,17,68,5,13.3,131
0,3,17,68,5,13.4,131
0,3,17,69,5,13.5,131
0,3,17,69,5,13.6,131
0,3,17,69,5,14.1,131
0,3,17,70,5,14.2,131
0,3,17,71,5,14.3,131
0,3,17,71,5,14.4,131
0,3,17,72,5,14.5,131
0,3,17,73,5,14.6,131
0,3,17,74,5,15.1,131
0,3,17,74,5,15.2,131
0,3,17,78,5,15.3,131
0,3,17,79,5,15.4,131
0,3,17,80,5,15.5,131
0,3,17,81,5,15.6,131
0,3,17,81,5,16.1,131
0,3,17,82,5,16.2,131
0,3,17,83,5,16.3,131
0,3,17,83,5,16.4,131
0,3,17,84,5,16.5,131
0,3,17,84,5,16.6,131
0,3,17,88,5,17.1,131
0,3,17,89,5,17.2,131
0,3,17,90,5,17.3,131
0,3,17,94,5,17.4,131
0,3,17,94,5,17.5,131
0,3,17,98,5,17.6,131
0,3,17,98,5,18.1,131
0,3,17,99,5,18.2,131
0,3,17,100,5,18.3,131
0,3,17,101,5,18.4,131
0,3,17,102,5,18.4,131
0,3,17,106,5,18.5,131
0,3,17,106,5,18.6,131
0,3,17,113,5,18.6,131
0,3,17,114,5,19.1,131
0,3,17,116,5,19.2,131
0,3,17,120,5,19.3,131
0,3,17,124,5,19.4,131
0,3,17,125,5,19.5,131
0,3,17,131,5,19.6,131
3,0,17,0,0,0.1,133
3,0,17,0,0,0.2,133
3,0,17,0,0,0.3,133
3,0,17,2,0,0.4,133
3,0,17,6,0,0.5,133
3,0,17,6,0,0.6,133
3,0,17,8,0,1.1,133
3,0,17,8,0,1.2,133
3,0,17,8,0,1.3,133
3,0,17,8,0,1.4,133
3,0,17,8,0,1.5,133
3,0,17,8,0,1.6,133
3,0,17,8,0,2.1,133
3,0,17,8,0,2.2,133
3,0,17,9,0,2.3,133
3,0,17,11,0,2.4,133
3,0,17,15,0,2.5,133
3,0,17,15,0,2.6,133
3,0,17,15,0,3.1,133
3,0,17,15,0,3.2,133
3,0,17,15,0,3.3,133
3,0,17,19,0,3.4,133
3,0,17,19,0,3.5,133
3,0,17,25,0,3.6,133
3,0,17,25,0,4.1,133
3,0,17,29,0,4.2,133
3,0,17,30,0,4.3,133
3,0,17,30,0,4.4,133
3,0,17,34,0,4.5,133
3,0,17,35,0,4.6,133
3,0,17,39,0,5.1,133
3,0,17,40,0,5.2,133
3,0,17,42,0,5.3,133
3,0,17,43,0,5.4,133
3,0,17,43,0,5.5,133
3,0,17,43,0,5.6,133
3,0,17,43,0,6.1,133
3,0,17,43,1,6.2,133
3,0,17,43,1,6.3,133
3,0,17,43,1,6.4,133
3,0,17,43,1,6.5,133
3,0,17,44,1,6.6,133
3,0,17,48,1,7.1,133
3,0,17,49,1,7.2,133
3,0,17,50,1,7.3,133
3,0,17,54,1,7.4,133
3,0,17,58,1,7.5,133
3,0,17,59,1,7.6,133
3,0,17,65,1,8.1,133
3,0,17,66,1,8.2,133
3,0,17,67,1,8.3,133
3,0,17,68,1,8.4,133
3,0,17,69,1,8.5,133
3,0,17,70,1,8.6,133
3,0,17,71,1,9.1,133
3,0,17,75,1,9.2,133
3,0,17,76,1,9.3,133
3,0,17,76,1,9.4,133
3,0,17,76,1,9.5,133
3,0,17,76,2,9.6,133
3,0,17,76,2,10.1,133
3,0,17,77,2,10.2,133
3,0,17,78,2,10.3,133
3,0,17,82,2,10.4,133
3,0,17,83,2,10.5,133
3,0,17,83,2,10.6,133
3,0,17,84,2,11.1,133
3,0,17,85,2,11.2,133
3,0,17,87,2,11.3,133
3,0,17,87,3,11.4,133
3,0,17,88,3,11.5,133
3,0,17,90,3,11.6,133
3,0,17,91,3,12.1,133
3,0,17,92,3,12.2,133
3,0,17,92,3,12.3,133
3,0,17,92,3,12.4,133
3,0,17,93,3,12.5,133
3,0,17,93,3,12.6,133
3,0,17,95,3,13.1,133
3,0,17,95,3,13.2,133
3,0,17,96,3,13.3,133
3,0,17,97,3,13.4,133
3,0,17,98,3,13.5,133
3,0,17,98,3,13.6,133
3,0,17,98,3,14.1,133
3,0,17,100,3,14.2,133
3,0,17,101,3,14.3,133
3,0,17,102,3,14.4,133
3,0,17,103,3,14.5,133
3,0,17,104,3,14.6,133
3,0,17,105,3,15.1,133
3,0,17,105,3,15.2,133
3,0,17,107,3,15.3,133
3,0,17,111,3,15.4,133
3,0,17,112,3,15.5,133
3,0,17,113,3,15.6,133
3,0,17,114,3,16.1,133
3,0,17,114,3,16.2,133
3,0,17,120,3,16.3,133
3,0,17,121,3,16.4,133
3,0,17,122,3,16.5,133
3,0,17,122,3,16.6,133
3,0,17,122,3,17.1,133
3,0,17,123,3,17.2,133
3,0,17,123,4,17.3,133
3,0,17,124,4,17.4,133
3,0,17,125,4,17.5,133
3,0,17,126,4,17.6,133
3,0,17,127,4,18.1,133
3,0,17,129,4,18.2,133
3,0,17,133,4,18.3,133
5,1,3,0,0,0.1,177
